"value","fixed"
"China:Wuhan","Asia:China:Hubei:Wuhan"
"USA:WI,Madison","North America:USA:Wisconsin:Madison"
"Nepal: Kathmandu","Asia:Nepal:Kathmandu:-"
"USA: Seattle, WA","North America:USA:Washington:Seattle"
"USA: WA","North America:USA:Washington:-"
"USA:WA","North America:USA:Washington:-"
"USA","North America:USA:-:-"
"Australia: Melbourne, Victoria","Oceania:Australia:Victoria:Melbourne"
"China: Hubei","Asia:China:Hubei:-"
"USA: Washington","North America:USA:Washington:-"
"Australia: Victoria","Oceania:Australia:Victoria:-"
"Australia: Northern Territory","Oceania:Australia:Northern Territory:-"
"Peru: Lima","South America:Peru:Lima:-"
"Cambodia:Sihanoukville","Asia:Cambodia:Sihanoukville:-"
"Malaysia: Kuala Lumpur","Asia:Malaysia:Kuala Lumpur:-"
"Germany","Europe:Germany:-:-"
"South Africa: KwaZulu-Natal","Africa:South Africa:KwaZulu-Natal:-"
"Malaysia","Asia:Malaysia:-:-"
"India: Rajkot","Asia:India:Gujarat:Rajkot"
"USA:Virginia","North America:USA:Virginia:-"
"Israel","Asia:Israel:-:-"
"Germany: Dusseldorf","Europe:Germany:Dusseldorf:-"
"Germany: Heinsberg","Europe:Germany:North Rhine Westphalia:Heinsberg District"
"China:Shanghai","Asia:China:Shanghai:-"
"Netherlands: Leiden","Europe:Netherlands:Leiden:-"
"Egypt","Africa:Egypt:-:-"
"USA:Los Angeles","North America:USA:California:Los Angeles"
"USA:Minnesota","North America:USA:Minnesota:-"
"USA: Hamilton, MT","North America:USA:Montana:Hamilton"
"Bangladesh","Asia:Bangladesh:-:-"
"USA: Georgia","North America:USA:Georgia:-"
"Australia: NSW","Oceania:Australia:New South Wales:-"
"USA: Virginia","North America:USA:Virginia:-"
"USA:California","North America:USA:California:-"
"Portugal","Europe:Portugal:-:-"
"USA: CA, San Diego County","North America:USA:California:San Diego County"
"United Kingdom:Scotland","Europe:United Kingdom:Scotland:-"
"United Kingdom:Wales","Europe:United Kingdom:Wales:-"
"United Kingdom:England","Europe:United Kingdom:England:-"
"Spain:Valencia","Europe:Spain:Comunitat Valenciana:Valencia"
"China","Asia:China:-:-"
"USA:WI,Madison","North America:USA:Wisconsin:Madison"
"Hong Kong","Asia:Hong Kong:-:-"
"Australia: Victoria","Oceania:Australia:Victoria:-"
"China: Wuhan","Asia:China:Hubei:Wuhan"
"Brazil: Feira de Santana, BA","South America:Brazil:Bahia:Feira de Santana"
"USA:Wisconsin","North America:USA:Wisconsin:-"
"Australia: Melbourne, Victoria","Oceania:Australia:Victoria:Melbourne"
"USA: Wisconsin","North America:USA:Wisconsin:-"
"USA","North America:USA:-:-"
"Malaysia: Kuala Lumpur","Asia:Malaysia:Kuala Lumpur:-"
"USA: Washington","North America:USA:Washington:-"
"USA: Connecticut","North America:USA:Connecticut:-"
"Malaysia","Asia:Malaysia:-:-"
"USA: Racine, Wisconsin","North America:USA:Wisconsin:Racine"
"USA: Milwaukee, Wisconsin","North America:USA:Wisconsin:Milwaukee"
"USA: Port Washi, Wisconsin","North America:USA:Wisconsin:Port Washington"
"USA: Thiensvill, Wisconsin","North America:USA:Wisconsin:Thiensville"
"USA: Grafton, Wisconsin","North America:USA:Wisconsin:Grafton"
"USA: Mequon, Wisconsin","North America:USA:Wisconsin:Mequon"
"USA: Whitefish, Wisconsin","North America:USA:Wisconsin:Whitefish Bay"
"USA: Pewaukee, Wisconsin","North America:USA:Wisconsin:Pewaukee"
"USA: Cudahy, Wisconsin","North America:USA:Wisconsin:Cudahy"
"USA: Glendale, Wisconsin","North America:USA:Wisconsin:Glendale"
"USA: Greenfield, Wisconsin","North America:USA:Wisconsin:Greenfield"
"USA: South Milwaukee, Wisconsin","North America:USA:Wisconsin:South Milwaukee"
"USA: Elm Grove, Wisconsin","North America:USA:Wisconsin:Elm Grove"
"USA: Franklin, Wisconsin","North America:USA:Wisconsin:Franklin"
"USA: Brookfield, Wisconsin","North America:USA:Wisconsin:Brookfield"
"USA: Campbellsp, Wisconsin","North America:USA:Wisconsin:Campbellsport"
"USA: Green Field, Wisconsin","North America:USA:Wisconsin:Greenfield"
"USA: Oak Creek, Wisconsin","North America:USA:Wisconsin:Oak Creek"
"USA: Jackson, Wisconsin","North America:USA:Wisconsin:Jackson"
"USA: Wauwatosa, Wisconsin","North America:USA:Wisconsin:Wauwatosa"
"USA: New Berlin, Wisconsin","North America:USA:Wisconsin:New Berlin"
"USA: New York","North America:USA:New York:-"
"Germany: Heinsberg","Europe:Germany:North Rhine Westphalia:Heinsberg District"
"Germany: Dusseldorf","Europe:Germany:North Rhine Westphalia:Dusseldorf"
"USA: California","North America:USA:California:-"
"USA: Illinois","North America:USA:Illinois:-"
"USA: Texas","North America:USA:Texas:-"
"USA: Arizona","North America:USA:Arizona:-"
"USA: Massachusetts","North America:USA:Massachusetts:-"
"USA: Iowa","North America:USA:Iowa:-"
"USA: Virginia","North America:USA:Virginia:-"
"USA: South Carolina","North America:USA:South Carolina:-"
"USA: New Jersey","North America:USA:New Jersey:-"
"India:Gujarat, Gandhinagar","Asia:India:Gujarat:Gandhinagar"
"India:Gujarat, Mansa","Asia:India:Gujarat:Mansa"
"India:Gujarat, Ahmedabad","Asia:India:Gujarat:Ahmedabad"
"USA: River Hills, Wisconsin","North America:USA:Wisconsin:River Hills"
"USA: Greater Milwakuee Area, Wisconsin","North America:USA:Wisconsin:Greater Milwaukee Area"
"USA: Brown Deer, Wisconsin","North America:USA:Wisconsin:Brown Deer"
"USA: Bayside, Wisconsin","North America:USA:Wisconsin:Bayside"
"USA: Hartford, Wisconsin","North America:USA:Wisconsin:Hartford"
"USA: Slinger, Wisconsin","North America:USA:Wisconsin:Slinger"
"USA: Saukville, Wisconsin","North America:USA:Wisconsin:Saukville"
"India:Gujarat, Surat","Asia:India:Gujarat:Surat"
"India: Gujarat, Ahmedabad","Asia:India:Gujarat:Ahmedabad"
"India: Gujarat, Dhansura","Asia:India:Gujarat:Dhansura"
"India: Gujarat, Modasa","Asia:India:Gujarat:Modasa"
"India: Gujarat, Prantij","Asia:India:Gujarat:Prantij"
"Colombia","South America:Colombia:-:-"
"India: Gujarat, Gandhinagar","Asia:India:Gujarat:Gandhinagar"
"India: Gujarat, Himatnagar","Asia:India:Gujarat:Himatnagar"
"India: Gujarat, Mansa","Asia:India:Gujarat:Mansa"
"India: Gujarat, Dahegam","Asia:India:Gujarat:Dahegam"
"USA: CA, San Diego County","North America:USA:California:San Diego County"
"Denmark","Europe:Denmark:-:-"
"Denmark:not provided","Europe:Denmark:-:-"
"United Kingdom:England","Europe:United Kingdom:England:-"
"United Kingdom:Scotland","Europe:United Kingdom:Scotland:-"
"Netherlands:Delft","Europe:Netherlands:South Holland:Delft"
"Netherlands:Nieuwendijk","Europe:Netherlands:North Brabant:Nieuwendijk"
"Netherlands:Diemen","Europe:Netherlands:North Holland:Diemen"
"Netherlands:Oss","Europe:Netherlands:North Brabant:Oss"
"Netherlands:Houten","Europe:Netherlands:Utrecht:Houten"
"Netherlands:Helmond","Europe:Netherlands:North Brabant:Helmond"
"Netherlands:Utrecht","Europe:Netherlands:Utrecht:-"
"Netherlands:Loon","Europe:Netherlands:North Brabant:Loon op zand"
"Netherlands:Tilburg","Europe:Netherlands:North Brabant:Tilburg"
"Netherlands:Coevorden","Europe:Netherlands:Drenthe:Coevorden"
"Netherlands:Rotterdam","Europe:Netherlands:South Holland:Rotterdam"
"Netherlands:Eindhoven","Europe:Netherlands:North Brabant:Eindhoven"
"Netherlands:Haarlem","Europe:Netherlands:North Holland:Haarlem"
"Netherlands:Dalen","Europe:Netherlands:Drenthe:Dalen"
"Netherlands:Andel","Europe:Netherlands:North Brabant:Andel"
"Netherlands:Berlicum","Europe:Netherlands:North Brabant:Berlicum"
"Netherlands:Hardinxveld","Europe:Netherlands:South Holland:Hardinxveld Giessendam"
"Netherlands:Oisterwijk","Europe:Netherlands:North Brabant:Oisterwijk"
"Netherlands:Blaricum","Europe:Netherlands:North Brabant:Blaricum"
"Netherlands:Naarden","Europe:Netherlands:North Holland:Naarden"
"Netherlands:Zeewolde","Europe:Netherlands:Flevoland:Zeewolde"
"Netherlands:Nootdorp","Europe:Netherlands:South Holland:Nootdorp"
"Netherlands:NoordBrabant","Europe:Netherlands:North Brabant:-"
"Netherlands:Limburg","Europe:Netherlands:Limburg:-"
"Netherlands:Overijssel","Europe:Netherlands:Overijssel:-"
"Netherlands:ZuidHolland","Europe:Netherlands:South Holland:-"
"Netherlands:Gelderland","Europe:Netherlands:Gelderland:-"
"Netherlands:NoordHolland","Europe:Netherlands:North Holland:-"
"Netherlands:Flevoland","Europe:Netherlands:Flevoland:-"
"Netherlands:not collected","Europe:Netherlands:-:-"
"United Kingdom:Wales","Europe:United Kingdom:Wales:-"
"Denmark:","Europe:Denmark:-:-"
"Japan","Asia:Japan:-:-"
"Japan:Kochi","Asia:Japan:Kochi:-"
"Japan:Chiba","Asia:Japan:Chiba:-"
"Japan:Ishikawa","Asia:Japan:Ishikawa:-"
"Japan:Saitama","Asia:Japan:Saitama:-"
"China:Wuhan","Asia:China:Hubei:Wuhan"
"China","Asia:China:-:-"
"USA","North America:USA:-:-"
"USA: Illinois","North America:USA:Illinois:-"
"USA: CA","North America:USA:California:-"
"China: Wuhan","Asia:China:Hubei:Wuhan"
"USA: AZ","North America:USA:Arizona:-"
"Australia: Victoria","Oceania:Australia:Victoria:-"
"India: Kerala State","Asia:India:Kerala:-"
"China: Hubei Wuhan","Asia:China:Hubei:Wuhan"
"USA: WA","North America:USA:Washington:-"
"USA: WI","North America:USA:Wisconsin:-"
"USA: MA","North America:USA:Massachusetts:-"
"South Korea","Asia:South Korea:South Korea:-"
"USA: IL","North America:USA:Illinois:-"
"China: Yunnan","Asia:China:Yunnan:-"
"Italy","Europe:Italy:-:-"
"Taiwan","Asia:Taiwan:-:-"
"Nepal","Asia:Nepal:-:-"
"Sweden","Europe:Sweden:-:-"
"USA: TX","North America:USA:Texas:-"
"Hong Kong","Asia:Hong Kong:-:-"
"China: Shanghai","Asia:China:Shanghai:-"
"China: Guangzhou","Asia:China:Guangdong:Guangzhou"
"Brazil","South America:Brazil:-:-"
"China: Beijing","Asia:China:Beijing:-"
"USA: Snohomish County WA","North America:USA:Washington:Snohomish County"
"USA: MN","North America:USA:Minnesota:-"
"USA: CA San Diego County","North America:USA:California:San Diego County"
"Viet Nam: Ho Chi Minh city","Asia:Vietnam:Ho Chi Minh City:-"
"Spain: Valencia","Europe:Spain:Comunitat Valenciana:Valencia"
"Pakistan: Gilgit","Asia:Pakistan:Gilgit Baltistan:Gilgit"
"USA: CT","North America:USA:Connecticut:-"
"China: Zhejiang Hangzhou","Asia:China:Zhejiang:Hangzhou"
"Colombia: Antioquia","South America:Colombia:Antioquia:-"
"USA: San Francisco CA","North America:USA:California:San Francisco"
"Peru","South America:Peru:-:-"
"Germany: Bavaria","Europe:Germany:Bavaria:-"
"USA: RI","North America:USA:Rhode Island:-"
"USA: GA","North America:USA:Georgia:-"
"USA: OR","North America:USA:Oregon:-"
"USA: FL","North America:USA:Florida:-"
"Israel","Asia:Israel:-:"
"China: Anhui Fuyang","Asia:China:Anhui:Fuyang"
"Spain","Europe:Spain:-:-"
"USA: North Carolina","North America:USA:North Carolina:-"
"USA: NH","North America:USA:New Hampshire:-"
"USA: NY","North America:USA:New York:-"
"USA: MI","North America:USA:Michigan:-"
"USA: NC","North America:USA:North Carolina:-"
"France","Europe:France:-:-"
"USA: VA","North America:USA:Virginia:-"
"South Africa: KwaZulu-Natal","Africa:South Africa:KwaZulu-Natal:-"
"USA: DC","North America:USA:Washington DC:-"
"USA: IA","North America:USA:Iowa:-"
"USA: IN","North America:USA:Indiana:-"
"USA: KS","North America:USA:Kansas:-"
"USA: LA","North America:USA:Louisiana:-"
"USA: MD","North America:USA:Maryland:-"
"USA: MO","North America:USA:Missouri:-"
"USA: NE","North America:USA:Nebraska:-"
"USA: NJ","North America:USA:New Jersey:-"
"USA: NV","North America:USA:Nevada:-"
"USA: OH","North America:USA:Ohio:-"
"USA: PA","North America:USA:Pennsylvania:-"
"USA: SC","North America:USA:South Carolina:-"
"USA: UT","North America:USA:Utah:-"
"Turkey","Europe:Turkey:-:-"
"Greece","Europe:Greece:-:-"
"USA: Maricopa County Arizona","North America:USA:Arizona:Maricopa County"
"USA: HI","North America:USA:Hawaii:-"
"USA: ID","North America:USA:Idaho:-"
"USA: New Orleans LA","North America:USA:Louisiana:New Orleans"
"India: Rajkot","Asia:India:Gujarat:Rajkot"
"Germany","Europe:Germany:-:-"
"Germany: Dusseldorf","Europe:Germany:Dusseldorf:-"
"India","Asia:India:-:-"
"Netherlands: Milheeze","Europe:Netherlands:Milheeze:-"
"USA: Michigan","North America:USA:Michigan:-"
"Puerto Rico","North America:USA:Puerto Rico:-"
"Kazakhstan","Asia:Kazakhstan:-:-"
"USA: Wisconsin","North America:USA:Wisconsin:-"
"USA: East Feliciana Parish Louisiana","North America:USA:Louisiana:East Feliciana Parish"
"India: Ahmedabad","Asia:India:Gujarat:Ahmedabad"
"India: Gandhinagar","Asia:India:Gujarat:Gandhinagar"
"India: Mansa","Asia:India:Gujarat:Mansa"
"China: Guangdong Guangzhou","Asia:China:Guangdong:Guangzhou"
"USA: MARINGOUIN LA","North America:USA:Louisiana:Maringouin"
"USA: KENNER LA","North America:USA:Louisiana:Kenner"
"USA: KILLONA LA","North America:USA:Louisiana:Killona"
"USA: SAINT ROSE LA","North America:USA:Louisiana:Sant Rose"
"USA: LOCKPORT LA","North America:USA:Louisiana:Lockport"
"USA: NEW ORLEANS LA","North America:USA:Louisiana:New Orleans"
"USA: LULING LA","North America:USA:Louisiana:Luling"
"USA: RACELAND LA","North America:USA:Louisiana:Raceland"
"USA: GHEENS LA","North America:USA:Louisiana:Gheens"
"USA: THIBODAUX LA","North America:USA:Louisiana:Thibodaux"
"USA: Slidell LA","North America:USA:Louisiana:Slidell"
"USA: Lacombe LA","North America:USA:Louisiana:Lacombe"
"USA: HOUMA LA","North America:USA:Louisiana:Houma"
"USA: SLIDELL LA","North America:USA:Louisiana:Slidell"
"Thailand","Asia:Thailand:-:-"
"Iran","Asia:Iran:-:-"
"Serbia","Europe:Serbia:-:-"
"India: Surat","Asia:India:Gujarat:Surat"
"Netherlands","Europe:Netherlands:-:-"
"India: Hyderabad","Asia:India:Telangana:Hyderabad"
"Greece: Athens","Europe:Greece:Athens:-"
"Serbia: Novi Pazar","Europe:Serbia:Novi Pazar:-"
"Guam","Oceania:Guam:-:-"
"Uruguay","South America:Uruguay:-:-"
"USA: AK","North America:USA:Alaska:-"
"India: Prantij","Asia:India:Gujarat:Prantij"
"India: Modasa","Asia:India:Gujarat:Modasa"
"India: Dhansura","Asia:India:Gujarat:Dhansura"
"Colombia","South America:Colombia:-:-"
"USA: VT","North America:USA:Vermont:-"
"USA: PR","North America:USA:Puerto Rico:-"
"Bangladesh","Asia:Bangladesh:-:-"
"India: Himatnagar","Asia:India:Gujarat:Himatnagar"
"India: Dahegam","Asia:India:Gujarat:Dahegam"
"Poland","Europe:Poland:-:-"
"Pakistan: Karachi","Asia:Pakistan:Karachi:-"
"Africa:Algeria:Boufarik:","Africa:Algeria:Boufarik:-"
"South America:Argentina:Ciudad Autonoma de Buenos Aires:","South America:Argentina:Ciudad Autonoma de Buenos Aires:-"
"Oceania:Australia:New South Wales:Sydney","Oceania:Australia:New South Wales:Sydney"
"Oceania:Australia:Victoria:","Oceania:Australia:Victoria:-"
"Europe:United Kingdom:England:","Europe:United Kingdom:England:-"
"South America:Argentina:Buenos Aires:","South America:Argentina:Buenos Aires:-"
"South America:Argentina:Buenos Aires:Quilmes","South America:Argentina:Buenos Aires:Quilmes"
"Europe:United Kingdom:England:South Yorkshire","Europe:United Kingdom:England:South Yorkshire"
"Europe:United Kingdom:England:Northamtonshire","Europe:United Kingdom:England:Northamtonshire"
"Europe:United Kingdom:England:London","Europe:United Kingdom:England:London"
"Europe:United Kingdom:England:Nottinghamshire","Europe:United Kingdom:England:Nottinghamshire"
"Europe:United Kingdom:England:Derbyshire","Europe:United Kingdom:England:Derbyshire"
"Europe:United Kingdom:England:Yorkshire","Europe:United Kingdom:England:Yorkshire"
"Europe:Estonia:Estonia:","Europe:Estonia:Estonia:-"
"Europe:Finland:Finland:","Europe:Finland:-:-"
"Europe:Finland:Helsinki:","Europe:Finland:Helsinki:-"
"Europe:Finland:Finland:Rovaniemi","Europe:Finland:Finland:Rovaniemi"
"Asia:China:Guangdong:Foshan","Asia:China:Guangdong:Foshan"
"Europe:France:France:","Europe:France:-:-"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Privas","Europe:France:Auvergne-Rhone-Alpes:Privas"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Macon","Europe:France:Auvergne-Rhone-Alpes:Macon"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Valence","Europe:France:Auvergne-Rhone-Alpes:Valence"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Venissieux","Europe:France:Auvergne-Rhone-Alpes:Venissieux"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Lyon","Europe:France:Auvergne-Rhone-Alpes:Lyon"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Bourg-en-Bresse","Europe:France:Auvergne-Rhone-Alpes:Bourg-en-Bresse"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Saint-Priest","Europe:France:Auvergne-Rhone-Alpes:Saint-Priest"
"Europe:France:Auvergne-RhÃ´ne-Alpes:Vienne","Europe:France:Auvergne-Rhone-Alpes:Vienne"
"Europe:France:Bretagne:Brest","Europe:France:Bretagne:Brest"
"Europe:France:Bretagne:Rennes","Europe:France:Bretagne:Rennes"
"Europe:France:Bretagne:Ploudalmezeau","Europe:France:Bretagne:Ploudalmezeau"
"Europe:France:Bourgogne-France-ComtÃ©:Montreux-Chateau","Europe:France:Bourgogne-Franche-Comte:Montreux-Chateau"
"Europe:France:Bourgogne-France-ComtÃ©:Thise","Europe:France:Bourgogne-Franche-Comte:Thise"
"Europe:France:Bourgogne:Dijon","Europe:France:Bourgogne:Dijon"
"Europe:France:Bourgogne-France-ComtÃ©:Chalon sur Saone","Europe:France:Bourgogne-Franche-Comte:Chalon sur Saone"
"Europe:France:Auvergne-RhÃ´ne-Alpes:","Europe:France:Auvergne-Rhone-Alpes:-"
"Europe:France:Ile de France:","Europe:France:Ile de France:-"
"Europe:France:Hauts de France:","Europe:France:Hauts de France:-"
"Europe:France:Centre-Val de Loire:Tours","Europe:France:Centre-Val de Loire:Tours"
"Europe:France:Centre-Val de Loire:Abondant","Europe:France:Centre-Val de Loire:Abondant"
"Europe:France:Grand Est:Strasbourg","Europe:France:Grand Est:Strasbourg"
"Europe:France:Grand Est:Reims","Europe:France:Grand Est:Reims"
"Europe:France:Grand Est:Woippy","Europe:France:Grand Est:Woippy"
"Europe:France:Grand Est:Spicheren","Europe:France:Grand Est:Spicheren"
"Europe:France:Grand Est:Gondrecourt-le-chateau","Europe:France:Grand Est:Gondrecourt-le-chateau"
"Europe:France:Grand Est:Ham sous Varsberg","Europe:France:Grand Est:Ham sous Varsberg"
"Europe:France:Grand Est:Nancy","Europe:France:Grand Est:Nancy"
"Europe:France:Hauts de France:CompiÃ¨gne","Europe:France:Hauts de France:Compiegne"
"Europe:France:Hauts de France:CrÃ©py en Valois","Europe:France:Hauts de France:Crepy en Valois"
"Europe:France:Hauts de France:Chateau-Thierry","Europe:France:Hauts de France:Chateau-Thierry"
"Europe:France:Hauts de France:Crouy en Thelle","Europe:France:Hauts de France:Crouy en Thelle"
"Europe:France:Hauts de France:Chateau-thierry","Europe:France:Hauts de France:Chateau-thierry"
"Europe:France:Hauts de France:Nogent-l'Artaud","Europe:France:Hauts de France:Nogent-l'Artaud"
"Europe:France:Ile de France:Paris","Europe:France:Ile de France:Paris"
"Europe:France:Ile de France:Pontoise","Europe:France:Ile de France:Pontoise"
"Europe:France:Ile de France:Garches","Europe:France:Ile de France:Garches"
"Europe:France:Ile de France:Longjumeau","Europe:France:Ile de France:Longjumeau"
"Europe:France:Ile de France:Levallois-Perret","Europe:France:Ile de France:Levallois-Perret"
"Europe:France:Ile de France:Saint Germain en Laye","Europe:France:Ile de France:Saint Germain en Laye"
"Europe:France:Ile de France:Meudon la ForÃªt","Europe:France:Ile de France:Meudon la Foret"
"Europe:France:Ile de France:Vanves","Europe:France:Ile de France:Vanves"
"Europe:France:Ile de France:Orsay","Europe:France:Ile de France:Orsay"
"Europe:France:Ile de France:Gennevilliers","Europe:France:Ile de France:Gennevilliers"
"Europe:France:Ile de France:Saint-Thibault-des-Vignes","Europe:France:Ile de France:Saint-Thibault-des-Vignes"
"Europe:France:Ile de France:AsniÃ¨res-sur-Seine","Europe:France:Ile de France:Asnieres-sur-Seine"
"Europe:France:Ile de France:Noisy le Roi","Europe:France:Ile de France:Noisy le Roi"
"Europe:France:Ile de France:Le Pecq","Europe:France:Ile de France:Le Pecq"
"Europe:France:Ile de France:Juvisy-sur-Orge","Europe:France:Ile de France:Juvisy-sur-Orge"
"Europe:France:Ile de France:Seine-Port","Europe:France:Ile de France:Seine-Port"
"Europe:France:Ile de France:Guyancourt","Europe:France:Ile de France:Guyancourt"
"Europe:France:Ile de France:Cergy","Europe:France:Ile de France:Cergy"
"Europe:France:Ile de France:Moussy Le Neuf","Europe:France:Ile de France:Moussy Le Neuf"
"Europe:France:Ile de France:Montigny le Bretonneux","Europe:France:Ile de France:Montigny le Bretonneux"
"Europe:France:Hauts de France:Pontoise","Europe:France:Hauts de France:Pontoise"
"Europe:France:Ile de France:Colombes","Europe:France:Ile de France:Colombes"
"Europe:France:Toulouse:","Europe:France:Toulouse:-"
"Europe:France:Normandie:Rouen","Europe:France:Normandie:Rouen"
"Europe:France:Normandie:Carentan","Europe:France:Normandie:Carentan"
"Europe:France:Occitanie:","Europe:France:Occitanie:-"
"Europe:France:Pays de la Loire:Nantes","Europe:France:Pays de la Loire:Nantes"
"Europe:France:Auvergne Rhone Alpes:Contamines","Europe:France:Auvergne-Rhone-Alpes:Contamines"
"Asia:China:Fujian:","Asia:China:Fujian:-"
"Asia:China:Anhui:Fuyang","Asia:China:Anhui:Fuyang"
"Africa:Gambia:West Coast Region:","Africa:Gambia:West Coast Region:-"
"Asia:China:Jiangxi:Ganzhou","Asia:China:Jiangxi:Ganzhou"
"Asia:Georgia:Tbilisi:","Asia:Georgia:Tbilisi:-"
"Europe:Germany:Bavaria:Munich","Europe:Germany:Bavaria:Munich"
"Europe:Germany:Baden-Wuerttemberg:","Europe:Germany:Baden-Wuerttemberg:-"
"Europe:Germany:Bavaria:","Europe:Germany:Bavaria:-"
"Europe:Germany:Bavaria:Starnberg","Europe:Germany:Bavaria:Starnberg"
"Europe:Germany:Germany:","Europe:Germany:-:-"
"Europe:Germany:Frankfurt:","Europe:Germany:Frankfurt:-"
"Europe:Germany:North Rhine Westphalia:Duesseldorf","Europe:Germany:North Rhine Westphalia:Dusseldorf"
"Europe:Germany:North Rhine Westphalia:Heinsberg District","Europe:Germany:North Rhine Westphalia:Heinsberg District"
"Europe:Germany:Duesseldorf:","Europe:Germany:Dusseldorf:-"
"Africa:Ghana:Greater Accra:","Africa:Ghana:Greater Accra:-"
"Africa:Ghana:Greater Accra:Accra","Africa:Ghana:Greater Accra:Accra"
"Europe:Greece:Athens:","Europe:Greece:Athens:-"
"Oceania:Guam:Guam:","Oceania:Guam:-:-"
"Asia:China:Guangdong:","Asia:China:Guangdong:-"
"Asia:China:Guangdong:Shenzhen","Asia:China:Guangdong:Shenzhen"
"Asia:China:Guangdong:Zhuhai","Asia:China:Guangdong:Zhuhai"
"Asia:China:Guangdong:Huizhou","Asia:China:Guangdong:Huizhou"
"Asia:China:Guangdong:Shanwei","Asia:China:Guangdong:Shanwei"
"Asia:China:Guangdong:Guangzhou","Asia:China:Guangdong:Guangzhou"
