"value","fixed"
"South America:Brazil:Sao Paulo:Sao Paulo","South America:Brazil:Sao Paulo:Sao Paulo"
"North America:USA:Massachusetts:Boston","North America:USA:Massachusetts:Boston"
"North America:USA:Massachusetts:","North America:USA:Massachusetts:-"
"North America:USA:Maryland:","North America:USA:Maryland:-"
"Asia:Brunei:Brunei:","Asia:Brunei:-:-"
"North America:USA:Michigan:","North America:USA:Michigan:-"
"Asia:Cambodia:Sihanoukville:","Asia:Cambodia:Sihanoukville:-"
"North America:Canada:Quebec:","North America:Canada:Quebec:-"
"North America:Canada:British Columbia:","North America:Canada:British Columbia:-"
"North America:USA:Minnesota:","North America:USA:Minnesota:-"
"North America:USA:Missouri:","North America:USA:Missouri:-"
"North America:USA:Montana:","North America:USA:Montana:-"
"North America:USA:North Carolina:","North America:USA:North Carolina:-"
"North America:USA:Nebraska:","North America:USA:Nebraska:-"
"North America:USA:New Hampshire:","North America:USA:New Hampshire:-"
"North America:USA:New Jersey:","North America:USA:New Jersey:-"
"North America:USA:New Jersey:Bergen County","North America:USA:New Jersey:Bergen County"
"North America:USA:New Jersey:Hudson County","North America:USA:New Jersey:Hudson County"
"North America:USA:New York:","North America:USA:New York:-"
"North America:USA:New Jersey:Camden County","North America:USA:New Jersey:Camden County"
"North America:USA:New Jersey:Essex County","North America:USA:New Jersey:Essex County"
"North America:USA:New Mexico:","North America:USA:New Mexico:-"
"North America:USA:Nevada:","North America:USA:Nevada:-"
"North America:USA:New York:Brooklyn","North America:USA:New York:Brooklyn"
"North America:USA:New York:Nassau County","North America:USA:New York:Nassau County"
"North America:USA:New York:Queens","North America:USA:New York:Queens"
"North America:USA:New York:Manhattan","North America:USA:New York:Manhattan"
"North America:USA:New York:Staten Island","North America:USA:New York:Staten Island"
"North America:USA:New York:Bronx","North America:USA:New York:Bronx"
"North America:USA:New York:Suffolk County","North America:USA:New York:Suffolk County"
"North America:Canada:Manitoba:","North America:Canada:Manitoba:-"
"North America:USA:New York:Rockland County","North America:USA:New York:Rockland County"
"North America:USA:New York:Suffolk county","North America:USA:New York:Suffolk county"
"North America:USA:New York:Nassau county","North America:USA:New York:Nassau county"
"North America:Canada:New Brunswick:","North America:Canada:New Brunswick:-"
"North America:USA:New York:Passaic County","North America:USA:New York:Passaic County"
"North America:Canada:Newfoundland and Labrador:","North America:Canada:Newfoundland and Labrador:-"
"North America:Canada:Nova Scotia:","North America:Canada:Nova Scotia:-"
"North America:Canada:Ontario:","North America:Canada:Ontario:-"
"North America:USA:New York:Westchester County","North America:USA:New York:Westchester County"
"North America:USA:New York:New York City","North America:USA:New York:New York City"
"North America:USA:New York:Saratoga County","North America:USA:New York:Saratoga County"
"North America:USA:New York:Schenectady County","North America:USA:New York:Schenectady County"
"North America:USA:New York:Richmond County","North America:USA:New York:Richmond County"
"North America:USA:New York:Orange County NY","North America:USA:New York:Orange County"
"North America:USA:New York:Dutchess County","North America:USA:New York:Dutchess County"
"North America:USA:New York:Clinton County","North America:USA:New York:Clinton County"
"North America:USA:New York:Onondaga County","North America:USA:New York:Onondaga County"
"North America:USA:New York:Broome County","North America:USA:New York:Broome County"
"North America:USA:New York:Ulster County","North America:USA:New York:Ulster County"
"North America:USA:New York:Putnam County","North America:USA:New York:Putnam County"
"North America:USA:New York:Jefferson County NY","North America:USA:New York:Jefferson County"
"North America:USA:New York:Albany County","North America:USA:New York:Albany County"
"North America:USA:New York:Montgomery County","North America:USA:New York:Montgomery County"
"North America:USA:New York:Cayuga County","North America:USA:New York:Cayuga County"
"North America:USA:New York:Franklin County NY","North America:USA:New York:Franklin County"
"North America:USA:New York:Chenango County","North America:USA:New York:Chenango County"
"North America:USA:New York:Washington County NY","North America:USA:New York:Washington County"
"North America:USA:Ohio:","North America:USA:Ohio:-"
"North America:USA:Ohio:Columbus OH","North America:USA:Ohio:Columbus"
"North America:USA:Oregon:Columbia County","North America:USA:Oregon:Columbia County"
"North America:USA:Oregon:Washington County OR","North America:USA:Oregon:Washington County"
"North America:USA:Oregon:Multnomah County","North America:USA:Oregon:Multnomah County"
"North America:USA:Oregon:Wasco County","North America:USA:Oregon:Wasco County"
"North America:USA:Oregon:","North America:USA:Oregon:-"
"North America:USA:Pennsylvania:","North America:USA:Pennsylvania:-"
"North America:USA:Pennsylvania:Pittsburgh","North America:USA:Pennsylvania:Pittsburgh"
"North America:Canada:Saskatchewan:","North America:Canada:Saskatchewan:-"
"South America:Chile:Antofagasta:","South America:Chile:Antofagasta:-"
"North America:USA:Rhode Island:","North America:USA:Rhode Island:-"
"North America:USA:South Carolina:","North America:USA:South Carolina:-"
"South America:Chile:Chillan:","South America:Chile:Chillan:-"
"North America:USA:Texas:","North America:USA:Texas:-"
"South America:Chile:Concepcion:","South America:Chile:Concepcion:-"
"South America:Chile:Coyhaique:","South America:Chile:Coyhaique:-"
"South America:Chile:Puerto Montt:","South America:Chile:Puerto Montt:-"
"South America:Chile:Punta Arenas:","South America:Chile:Punta Arenas:-"
"South America:Chile:Rancagua:","South America:Chile:Rancagua:-"
"North America:USA:Texas:Houston","North America:USA:Texas:Houston"
"North America:USA:USA:","North America:USA:USA:-"
"South America:Chile:Santiago:","South America:Chile:Santiago:-"
"North America:USA:Utah:","North America:USA:Utah:-"
"North America:USA:Virginia:","North America:USA:Virginia:-"
"North America:USA:Virgin Islands:","North America:USA:Virgin Islands:-"
"North America:USA:Vermont:","North America:USA:Vermont:-"
"North America:USA:Washington:","North America:USA:Washington:-"
"North America:USA:Washington:King County","North America:USA:Washington:King County"
"North America:USA:Washington:Snohomish County","North America:USA:Washington:Snohomish County"
"North America:USA:Washington:Grant County","North America:USA:Washington:Grant County"
"North America:USA:Washington:Whatcom County","North America:USA:Washington:Whatcom County"
"North America:USA:Washington:Yakima County","North America:USA:Washington:Yakima County"
"North America:USA:Washington:Pierce County","North America:USA:Washington:Pierce County"
"North America:USA:Washington:Clark County","North America:USA:Washington:Clark County"
"North America:USA:Washington:Thurston County","North America:USA:Washington:Thurston County"
"North America:USA:Washington:Skagit County","North America:USA:Washington:Skagit County"
"South America:Chile:Talca:","South America:Chile:Talca:-"
"North America:USA:Washington:Asotin County","North America:USA:Washington:Asotin County"
"North America:USA:Washington:Benton County","North America:USA:Washington:Benton County"
"North America:USA:Washington:Franklin County WA","North America:USA:Washington:Franklin County"
"North America:USA:Washington:Adams County WA","North America:USA:Washington:Adams County"
"South America:Chile:Temuco:","South America:Chile:Temuco:-"
"North America:USA:Washington:Mason County","North America:USA:Washington:Mason County"
"South America:Chile:Valparaiso:","South America:Chile:Valparaiso:-"
"North America:USA:Washington:Kittitas County","North America:USA:Washington:Kittitas County"
"North America:USA:Washington:Jefferson County WA","North America:USA:Washington:Jefferson County"
"Asia:China:Hubei:Wuhan","Asia:China:Hubei:Wuhan"
"Asia:China:Chongqing:","Asia:China:Chongqing:-"
"Asia:China:Chongqing:Yongchuan","Asia:China:Chongqing:Yongchuan"
"Asia:China:Chongqing:Zhongxian","Asia:China:Chongqing:Zhongxian"
"South America:Colombia:Antioquia:","South America:Colombia:Antioquia:-"
"South America:Colombia:Bogota:","South America:Colombia:Bogota:-"
"South America:Colombia:Colombia:","South America:Colombia:-:-"
"South America:Colombia:Caldas:Anserma","South America:Colombia:Caldas:Anserma"
"South America:Colombia:Valle del Cauca:Cali","South America:Colombia:Valle del Cauca:Cali"
"South America:Colombia:Valle del Cauca:Palmira","South America:Colombia:Valle del Cauca:Palmira"
"South America:Colombia:Boyaca:Togui","South America:Colombia:Boyaca:Togui"
"North America:USA:Washington:Umatilla County","North America:USA:Washington:Umatilla County"
"South America:Colombia:Cundinamarca:Soacha","South America:Colombia:Cundinamarca:Soacha"
"South America:Colombia:Cundinamarca:Madrid CO","South America:Colombia:Cundinamarca:Madrid"
"South America:Colombia:Cundinamarca:Zipaquira","South America:Colombia:Cundinamarca:Zipaquira"
"South America:Colombia:Boyaca:Santa Sofia","South America:Colombia:Boyaca:Santa Sofia"
"South America:Colombia:Narino:Ipiales","South America:Colombia:Narino:Ipiales"
"South America:Colombia:Choco:Quibdo","South America:Colombia:Choco:Quibdo"
"South America:Colombia:Risaralda:Pereira","South America:Colombia:Risaralda:Pereira"
"South America:Colombia:Huila:Neiva","South America:Colombia:Huila:Neiva"
"South America:Colombia:Cundinamarca:Funza","South America:Colombia:Cundinamarca:Funza"
"South America:Colombia:Valle del Cauca:Buga","South America:Colombia:Valle del Cauca:Buga"
"South America:Colombia:Tolima:Ibague","South America:Colombia:Tolima:Ibague"
"South America:Colombia:Antioquia:Medellin","South America:Colombia:Antioquia:Medellin"
"South America:Colombia:Antioquia:Envigado","South America:Colombia:Antioquia:Envigado"
"South America:Colombia:Antioquia:Itagui","South America:Colombia:Antioquia:Itagui"
"South America:Colombia:Antioquia:Sabaneta","South America:Colombia:Antioquia:Sabaneta"
"South America:Colombia:Cundinamarca:Choconta","South America:Colombia:Cundinamarca:Choconta"
"South America:Colombia:Valle del Cauca:Tulua","South America:Colombia:Valle del Cauca:Tulua"
"South America:Colombia:Magdalena:Santa Marta","South America:Colombia:Magdalena:Santa Marta"
"South America:Colombia:Valle del Cauca:Trujillo","South America:Colombia:Valle del Cauca:Trujillo"
"South America:Colombia:Valle del Cauca:Andalucia","South America:Colombia:Valle del Cauca:Andalucia"
"South America:Colombia:Valle del Cauca:Jamundi","South America:Colombia:Valle del Cauca:Jamundi"
"South America:Colombia:Valle del Cauca:El cerrito","South America:Colombia:Valle del Cauca:El cerrito"
"South America:Colombia:Boyaca:Santana","South America:Colombia:Boyaca:Santana"
"South America:Colombia:Cesar:Valledupar","South America:Colombia:Cesar:Valledupar"
"South America:Colombia:Cundinamarca:Cajica","South America:Colombia:Cundinamarca:Cajica"
"South America:Colombia:Norte de santander:CÃºcuta","South America:Colombia:Norte de santander:Cucuta"
"South America:Colombia:Meta:Villavicencio","South America:Colombia:Meta:Villavicencio"
"South America:Colombia:Risaralda:Dosquebradas","South America:Colombia:Risaralda:Dosquebradas"
"South America:Colombia:Valle del Cauca:Yumbo","South America:Colombia:Valle del Cauca:Yumbo"
"South America:Colombia:Cundinamarca:Pacho","South America:Colombia:Cundinamarca:Pacho"
"South America:Colombia:Cordoba:Tierralta","South America:Colombia:Cordoba:Tierralta"
"South America:Colombia:Cordoba:Monteria","South America:Colombia:Cordoba:Monteria"
"North America:USA:Washington:Kirkland","North America:USA:Washington:Kirkland"
"North America:Costa Rica:Alajuela:San Rafael de Alajuela","North America:Costa Rica:Alajuela:San Rafael de Alajuela"
"North America:Costa Rica:Heredia:San Rafael Heredia","North America:Costa Rica:Heredia:San Rafael Heredia"
"North America:Costa Rica:Cartago:La Union","North America:Costa Rica:Cartago:La Union"
"North America:Costa Rica:San Jose:Tibas","North America:Costa Rica:San Jose:Tibas"
"North America:USA:Washington:Seattle","North America:USA:Washington:Seattle"
"North America:Costa Rica:Alajuela:Orotina","North America:Costa Rica:Alajuela:Orotina"
"Europe:Croatia:Split:","Europe:Croatia:Split:-"
"Europe:Croatia:Koprivnica:","Europe:Croatia:Koprivnica:-"
"Europe:Croatia:Istria:","Europe:Croatia:Istria:-"
"Europe:Croatia:Dubrovnik:","Europe:Croatia:Dubrovnik:-"
"Europe:Croatia:Varazdin:","Europe:Croatia:Varazdin County:-"
"Europe:Croatia:Osijek:","Europe:Croatia:Osijek:-"
"North America:USA:Wisconsin:La Crosse County","North America:USA:Wisconsin:La Crosse County"
"North America:USA:Wisconsin:","North America:USA:Wisconsin:-"
"North America:USA:Wisconsin:Monroe County","North America:USA:Wisconsin:Monroe County"
"North America:USA:Wisconsin:Jackson County","North America:USA:Wisconsin:Jackson County"
"North America:USA:Minnesota:Winona County","North America:USA:Minnesota:Winona County"
"North America:USA:Wisconsin:Adams County WI","North America:USA:Wisconsin:Adams County WI"
"North America:USA:Iowa:Allamakee County","North America:USA:Iowa:Allamakee County"
"North America:USA:Iowa:Winneshiek County","North America:USA:Iowa:Winneshiek County"
"North America:USA:Wisconsin:Trempealeau County","North America:USA:Wisconsin:Trempealeau County"
"North America:USA:Wisconsin:Juneau County","North America:USA:Wisconsin:Juneau County"
"North America:USA:Wisconsin:Vernon County","North America:USA:Wisconsin:Vernon County"
"North America:USA:Iowa:Fayette County","North America:USA:Iowa:Fayette County"
"North America:USA:Wisconsin:Madison","North America:USA:Wisconsin:Madison"
"North America:USA:Wisconsin:Dane County","North America:USA:Wisconsin:Dane County"
"Europe:Croatia:VaraÅ¾din County:","Europe:Croatia:Varazdin County:-"
"North America:USA:Wisconsin:Fitchburg","North America:USA:Wisconsin:Fitchburg"
"Europe:Czech Republic:Prague:","Europe:Czech Republic:Prague:-"
"North America:USA:Wisconsin:Spring Green","North America:USA:Wisconsin:Spring Green"
"North America:USA:Wisconsin:Middleton","North America:USA:Wisconsin:Middleton"
"North America:USA:Wisconsin:Mount Horeb","North America:USA:Wisconsin:Mount Horeb"
"North America:USA:Wisconsin:Cottage Grove","North America:USA:Wisconsin:Cottage Grove"
"North America:USA:Wisconsin:Cross Plains","North America:USA:Wisconsin:Cross Plains"
"North America:USA:Wisconsin:Colorado Springs","North America:USA:Wisconsin:Colorado Springs"
"North America:USA:Wisconsin:Belleville","North America:USA:Wisconsin:Belleville"
"North America:USA:Wisconsin:Stoughton","North America:USA:Wisconsin:Stoughton"
"North America:USA:Wisconsin:Hillpoint","North America:USA:Wisconsin:Hillpoint"
"North America:USA:Wisconsin:Verona WI","North America:USA:Wisconsin:Verona WI"
"North America:USA:Wisconsin:Holy Cross","North America:USA:Wisconsin:Holy Cross"
"Europe:Czech Republic:Vysocina Region:Bela - Ledec na Sazavou","Europe:Czech Republic:Vysocina Region:Bela - Ledec na Sazavou"
"North America:USA:Wisconsin:Sun Prarie","North America:USA:Wisconsin:Sun Prarie"
"North America:USA:Wisconsin:Richland Center","North America:USA:Wisconsin:Richland Center"
"North America:USA:Wisconsin:Beloit","North America:USA:Wisconsin:Beloit"
"North America:USA:Wisconsin:Muscoda","North America:USA:Wisconsin:Muscoda"
"North America:USA:Wisconsin:Waunakee","North America:USA:Wisconsin:Waunakee"
"North America:USA:Wisconsin:DeForest","North America:USA:Wisconsin:DeForest"
"Europe:Czech Republic:Usti nad Labem:","Europe:Czech Republic:Usti nad Labem:-"
"North America:USA:Wisconsin:Tomah","North America:USA:Wisconsin:Tomah"
"North America:USA:Wisconsin:Wauwatosa","North America:USA:Wisconsin:Wauwatosa"
"North America:USA:Wisconsin:Milwaukee","North America:USA:Wisconsin:Milwaukee"
"North America:USA:Wisconsin:Oak Creek","North America:USA:Wisconsin:Oak Creek"
"North America:USA:Wisconsin:Elm Grove","North America:USA:Wisconsin:Elm Grove"
"North America:USA:Wisconsin:Pewaukee","North America:USA:Wisconsin:Pewaukee"
"North America:USA:Wisconsin:Greenfield","North America:USA:Wisconsin:Greenfield"
"North America:USA:Wisconsin:New Berlin","North America:USA:Wisconsin:New Berlin"
"North America:USA:Wisconsin:Grafton","North America:USA:Wisconsin:Grafton"
"Europe:Czech Republic:Czech Republic:","Europe:Czech Republic:Czech Republic:-"
"North America:USA:Wisconsin:Jackson","North America:USA:Wisconsin:Jackson"
"North America:USA:Wisconsin:Brookfield","North America:USA:Wisconsin:Brookfield"
"North America:USA:Wisconsin:Campbellsport","North America:USA:Wisconsin:Campbellsport"
"North America:USA:Wisconsin:Mequon","North America:USA:Wisconsin:Mequon"
"North America:USA:Wisconsin:Franklin","North America:USA:Wisconsin:Franklin"
"North America:USA:Wisconsin:South Milwaukee","North America:USA:Wisconsin:South Milwaukee"
"North America:USA:Wisconsin:Glendale","North America:USA:Wisconsin:Glendale"
"North America:USA:Wisconsin:Cudahy","North America:USA:Wisconsin:Cudahy"
"North America:USA:Wisconsin:Whitefish Bay","North America:USA:Wisconsin:Whitefish Bay"
"North America:USA:Wisconsin:Thiensville","North America:USA:Wisconsin:Thiensville"
"North America:USA:Wisconsin:Port Washington","North America:USA:Wisconsin:Port Washington"
"North America:USA:Wisconsin:Racine","North America:USA:Wisconsin:Racine"
"North America:USA:Wisconsin:River Hills","North America:USA:Wisconsin:River Hills"
"North America:USA:Wisconsin:Greater Milwaukee Area","North America:USA:Wisconsin:Greater Milwaukee Area"
"North America:USA:Wisconsin:Columbus WI","North America:USA:Wisconsin:Columbus WI"
"North America:USA:Wisconsin:Saukville","North America:USA:Wisconsin:Saukville"
"North America:USA:Wisconsin:Slinger","North America:USA:Wisconsin:Slinger"
"North America:USA:Wisconsin:Hartford","North America:USA:Wisconsin:Hartford"
"North America:USA:Wisconsin:Bayside","North America:USA:Wisconsin:Bayside"
"North America:USA:Wisconsin:Brown Deer","North America:USA:Wisconsin:Brown Deer"
"North America:USA:Wisconsin:Oregon WI","North America:USA:Wisconsin:Oregon WI"
"North America:USA:Wisconsin:Janesville","North America:USA:Wisconsin:Janesville"
"North America:USA:Wisconsin:Marshall","North America:USA:Wisconsin:Marshall"
"North America:USA:Wisconsin:Chippewa Falls","North America:USA:Wisconsin:Chippewa Falls"
"North America:USA:Wisconsin:Brooklyn WI","North America:USA:Wisconsin:Brooklyn WI"
"North America:USA:Wisconsin:Monona","North America:USA:Wisconsin:Monona"
"North America:USA:Wisconsin:Blanchardville","North America:USA:Wisconsin:Blanchardville"
"Africa:Democratic Republic of the Congo:Kinshasa:","Africa:Democratic Republic of the Congo:Kinshasa:-"
"North America:USA:Wyoming:","North America:USA:Wyoming:-"
"Africa:Uganda:Uganda:","Africa:Uganda:-:-"
"Asia:United Arab Emirates:United Arab Emirates:","Asia:United Arab Emirates:United Arab Emirates:-"
"South America:Uruguay:Montevideo:","South America:Uruguay:Montevideo:-"
"Asia:Vietnam:Ho Chi Minh City:","Asia:Vietnam:Ho Chi Minh City:-"
"Asia:Vietnam:Thanh Hoa:","Asia:Vietnam:Thanh Hoa:-"
"Asia:Vietnam:Quangning:","Asia:Vietnam:Quangning:-"
"Asia:Vietnam:Red River Delta:Hanoi","Asia:Vietnam:Red River Delta:Hanoi"
"Asia:Vietnam:Vinhphuc:","Asia:Vietnam:Vinhphuc:-"
"Asia:Vietnam:Vietnam:","Asia:Vietnam:Vietnam:-"
"Europe:United Kingdom:Wales:","Europe:United Kingdom:Wales:-"
"Europe:United Kingdom:Wales:Cardiff","Europe:United Kingdom:Wales:Cardiff"
"Africa:Democratic Republic of the Congo:Sud Kivu:","Africa:Democratic Republic of the Congo:Sud Kivu:-"
"Africa:Democratic Republic of the Congo:Democratic Republic of the Congo:","Africa:Democratic Republic of the Congo:-:-"
"Europe:Denmark:Denmark:","Europe:Denmark:Denmark:-"
"Asia:China:Jiangxi:Xinyu","Asia:China:Jiangxi:Xinyu"
"Asia:China:Yunnan:","Asia:China:Yunnan:-"
"Asia:China:Yunnan:Kunming","Asia:China:Yunnan:Kunming"
"Asia:China:Zhejiang:","Asia:China:Zhejiang:-"
"Asia:China:Yunnan:Pu'er","Asia:China:Yunnan:Pu'er"
"Asia:China:Yunnan:Xishuangbanna","Asia:China:Yunnan:Xishuangbanna"
"Europe:Netherlands:Milheeze:","Europe:Netherlands:Milheeze:-"
"Asia:China:China:","Asia:China:-:-"
"Asia:China:Guangxi:","Asia:China:Guangxi:-"
"Europe:Denmark:Copenhagen:","Europe:Denmark:Copenhagen:-"
"South America:Ecuador:Quito:","South America:Ecuador:Quito:-"
"South America:Ecuador:Pichincha:","South America:Ecuador:Pichincha:-"
"Africa:Egypt:Egypt:","Africa:Egypt:-:-"
"Asia:China:Anhui:Suzhou","Asia:China:Anhui:Suzhou"
"Oceania:Australia:New South Wales:Tweed Heads","Oceania:Australia:New South Wales:Tweed Heads"
"Oceania:Australia:Northern Territory:","Oceania:Australia:Northern Territory:-"
"Oceania:Australia:Northern territory:","Oceania:Australia:Northern Territory:-"
"Oceania:Australia:Queensland:Gold Coast","Oceania:Australia:Queensland:Gold Coast"
"Oceania:Australia:Queensland:Rockhampton","Oceania:Australia:Queensland:Rockhampton"
"Oceania:Australia:Queensland:Brisbane","Oceania:Australia:Queensland:Brisbane"
"Oceania:Australia:Queensland:Sunshine Coast","Oceania:Australia:Queensland:Sunshine Coast"
"Oceania:Australia:Queensland:Southeast Queensland","Oceania:Australia:Queensland:Southeast Queensland"
"Oceania:Australia:Queensland:Northern Queensland","Oceania:Australia:Queensland:Northern Queensland"
"Oceania:Australia:Queensland:Cairns","Oceania:Australia:Queensland:Cairns"
"Oceania:Australia:South Australia:","Oceania:Australia:South Australia:-"
"South America:Argentina:Argentina:","South America:Argentina:-:-"
"Oceania:Australia:Victoria:Clayton","Oceania:Australia:Victoria:Clayton"
"Oceania:Australia:Victoria:Melbourne","Oceania:Australia:Victoria:Melbourne"
